case,solver,keff,std,keff_2sigma,status,execution_time,enrichment,height_cm,radius_cm,reflector_material,reflector_thickness_cm,uf6_density,wall_material,wall_thickness_cm
case_10,mcnp,0.57444,0.00066,0.57576,SAFE,89.6,20.0,100.0,8.073,water,30.0,5.09,aluminum,0.277
case_11,mcnp,0.63935,0.00077,0.64089,SAFE,77.4,20.0,100.0,10.578,water,30.0,5.09,aluminum,0.277
case_1,openmc,0.01486,0.00002,0.01490,SAFE,2.5,5.0,100.0,1.393,air,30.0,5.09,aluminum,0.277
case_2,openmc,0.01919,0.00003,0.01925,SAFE,3.1,5.0,100.0,1.831,air,30.0,5.09,aluminum,0.277
case_3,openmc,0.02217,0.00003,0.02222,SAFE,2.5,5.0,100.0,2.136,air,30.0,5.09,aluminum,0.277
case_4,openmc,0.02807,0.00004,0.02814,SAFE,2.8,5.0,100.0,2.739,air,30.0,5.09,aluminum,0.277
case_5,openmc,0.03394,0.00005,0.03404,SAFE,2.6,5.0,100.0,3.346,air,30.0,5.09,aluminum,0.277
case_6,openmc,0.04138,0.00005,0.04147,SAFE,2.9,5.0,100.0,4.14,air,30.0,5.09,aluminum,0.277
case_7,openmc,0.04730,0.00006,0.04743,SAFE,2.9,5.0,100.0,4.775,air,30.0,5.09,aluminum,0.277
case_8,openmc,0.05310,0.00006,0.05322,SAFE,3.0,5.0,100.0,5.41,air,30.0,5.09,aluminum,0.277
case_9,openmc,0.06515,0.00007,0.06529,SAFE,3.0,5.0,100.0,6.725,air,30.0,5.09,aluminum,0.277
case_10,openmc,0.07763,0.00009,0.07782,SAFE,3.3,5.0,100.0,8.073,air,30.0,5.09,aluminum,0.277
case_11,openmc,0.10128,0.00010,0.10148,SAFE,3.7,5.0,100.0,10.578,air,30.0,5.09,aluminum,0.277
case_1,mcnp,0.01483,0.00002,0.01487,SAFE,4.2,5.0,100.0,1.393,air,30.0,5.09,aluminum,0.277
case_2,mcnp,0.01928,0.00003,0.01934,SAFE,4.1,5.0,100.0,1.831,air,30.0,5.09,aluminum,0.277
case_3,mcnp,0.02223,0.00003,0.02229,SAFE,4.1,5.0,100.0,2.136,air,30.0,5.09,aluminum,0.277
case_4,mcnp,0.02808,0.00003,0.02814,SAFE,4.1,5.0,100.0,2.739,air,30.0,5.09,aluminum,0.277
case_5,mcnp,0.03393,0.00004,0.03401,SAFE,4.1,5.0,100.0,3.346,air,30.0,5.09,aluminum,0.277
case_6,mcnp,0.04148,0.00005,0.04158,SAFE,4.1,5.0,100.0,4.14,air,30.0,5.09,aluminum,0.277
case_7,mcnp,0.04729,0.00007,0.04743,SAFE,4.1,5.0,100.0,4.775,air,30.0,5.09,aluminum,0.277
case_8,mcnp,0.05323,0.00006,0.05335,SAFE,4.1,5.0,100.0,5.41,air,30.0,5.09,aluminum,0.277
case_9,mcnp,0.06533,0.00007,0.06547,SAFE,4.1,5.0,100.0,6.725,air,30.0,5.09,aluminum,0.277
case_10,mcnp,0.07770,0.00008,0.07786,SAFE,6.2,5.0,100.0,8.073,air,30.0,5.09,aluminum,0.277
case_11,mcnp,0.10108,0.00011,0.10130,SAFE,6.2,5.0,100.0,10.578,air,30.0,5.09,aluminum,0.277
case_1,openmc,0.16359,0.00052,0.16463,SAFE,26.4,5.0,100.0,1.393,water,30.0,5.09,aluminum,0.277
case_2,openmc,0.20470,0.00052,0.20573,SAFE,26.6,5.0,100.0,1.831,water,30.0,5.09,aluminum,0.277
case_3,openmc,0.23016,0.00061,0.23137,SAFE,25.3,5.0,100.0,2.136,water,30.0,5.09,aluminum,0.277
case_4,openmc,0.27182,0.00069,0.27320,SAFE,25.2,5.0,100.0,2.739,water,30.0,5.09,aluminum,0.277
case_5,openmc,0.30683,0.00064,0.30811,SAFE,24.6,5.0,100.0,3.346,water,30.0,5.09,aluminum,0.277
case_6,openmc,0.34595,0.00073,0.34741,SAFE,24.5,5.0,100.0,4.14,water,30.0,5.09,aluminum,0.277
case_7,openmc,0.37156,0.00077,0.37311,SAFE,24.0,5.0,100.0,4.775,water,30.0,5.09,aluminum,0.277
case_8,openmc,0.39429,0.00071,0.39571,SAFE,23.7,5.0,100.0,5.41,water,30.0,5.09,aluminum,0.277
case_9,openmc,0.43152,0.00077,0.43306,SAFE,23.8,5.0,100.0,6.725,water,30.0,5.09,aluminum,0.277
case_10,openmc,0.46565,0.00091,0.46748,SAFE,23.2,5.0,100.0,8.073,water,30.0,5.09,aluminum,0.277
case_11,openmc,0.50859,0.00087,0.51032,SAFE,22.1,5.0,100.0,10.578,water,30.0,5.09,aluminum,0.277
case_1,mcnp,0.16335,0.00041,0.16417,SAFE,103.6,5.0,100.0,1.393,water,30.0,5.09,aluminum,0.277
case_2,mcnp,0.20532,0.00040,0.20612,SAFE,97.6,5.0,100.0,1.831,water,30.0,5.09,aluminum,0.277
case_3,mcnp,0.22964,0.00046,0.23056,SAFE,97.7,5.0,100.0,2.136,water,30.0,5.09,aluminum,0.277
case_4,mcnp,0.27178,0.00053,0.27284,SAFE,95.5,5.0,100.0,2.739,water,30.0,5.09,aluminum,0.277
case_5,mcnp,0.30613,0.00050,0.30713,SAFE,103.8,5.0,100.0,3.346,water,30.0,5.09,aluminum,0.277
case_6,mcnp,0.34622,0.00057,0.34736,SAFE,107.5,5.0,100.0,4.14,water,30.0,5.09,aluminum,0.277
case_7,mcnp,0.37078,0.00054,0.37186,SAFE,107.5,5.0,100.0,4.775,water,30.0,5.09,aluminum,0.277
case_8,mcnp,0.39332,0.00058,0.39448,SAFE,97.7,5.0,100.0,5.41,water,30.0,5.09,aluminum,0.277
case_9,mcnp,0.43193,0.00061,0.43315,SAFE,83.5,5.0,100.0,6.725,water,30.0,5.09,aluminum,0.277
case_10,mcnp,0.46374,0.00070,0.46514,SAFE,87.5,5.0,100.0,8.073,water,30.0,5.09,aluminum,0.277
case_11,mcnp,0.50746,0.00061,0.50868,SAFE,93.4,5.0,100.0,10.578,water,30.0,5.09,aluminum,0.277
