case,solver,keff,std,keff_2sigma,status,execution_time,boundary_type,cols,enrichment,environment_material,fill_fraction,fissile_density,fissile_material,gap_xy_cm,gap_z_cm,h_to_u_ratio,height_cm,layers,radius_cm,reflector_thickness_cm,rows,void_material,wall_material,wall_thickness_cm
case_1,openmc,0.88378,0.00059,0.88496,SAFE,1052.8,reflective,4,21,humid_air,0.01,5.09,uo2f2,12.7,7.62,0,100.0,5,12.7,6.35,3,humid_air,steel,0.3175
case_2,openmc,1.06040,0.00067,1.06174,CRITICAL,628.8,reflective,4,21,humid_air,0.02,5.09,uo2f2,12.7,7.62,0,100.0,5,12.7,6.35,3,humid_air,steel,0.3175
case_3,openmc,1.22106,0.00076,1.22258,CRITICAL,477.3,reflective,4,21,humid_air,0.05,5.09,uo2f2,12.7,7.62,0,100.0,5,12.7,6.35,3,humid_air,steel,0.3175
case_4,openmc,1.29438,0.00074,1.29587,CRITICAL,230.6,reflective,4,21,humid_air,0.1,5.09,uo2f2,12.7,7.62,0,100.0,5,12.7,6.35,3,humid_air,steel,0.3175
case_5,openmc,1.32398,0.00074,1.32547,CRITICAL,148.2,reflective,4,21,humid_air,0.15,5.09,uo2f2,12.7,7.62,0,100.0,5,12.7,6.35,3,humid_air,steel,0.3175
case_6,openmc,1.33929,0.00074,1.34076,CRITICAL,123.1,reflective,4,21,humid_air,0.2,5.09,uo2f2,12.7,7.62,0,100.0,5,12.7,6.35,3,humid_air,steel,0.3175
