case,solver,keff,std,keff_2sigma,status,execution_time,boundary_type,cols,enrichment,environment_material,fill_fraction,fissile_density,fissile_material,gap_xy_cm,gap_z_cm,h_to_u_ratio,height_cm,layers,radius_cm,reflector_thickness_cm,rows,void_material,wall_material,wall_thickness_cm
case_1,openmc,1.27615,0.00071,1.27757,CRITICAL,216.6,reflective,4,21,humid_air,0.25,5.09,uf6,12.7,7.62,0.0,100.0,5,12.7,6.35,3,humid_air,steel,0.3175
case_2,openmc,1.29737,0.00076,1.29888,CRITICAL,149.7,reflective,4,21,humid_air,0.5,5.09,uf6,12.7,7.62,0.0,100.0,5,12.7,6.35,3,humid_air,steel,0.3175
case_3,openmc,1.30549,0.00069,1.30686,CRITICAL,111.0,reflective,4,21,humid_air,0.75,5.09,uf6,12.7,7.62,0.0,100.0,5,12.7,6.35,3,humid_air,steel,0.3175
case_4,openmc,1.30979,0.00070,1.31118,CRITICAL,96.1,reflective,4,21,humid_air,1.0,5.09,uf6,12.7,7.62,0.0,100.0,5,12.7,6.35,3,humid_air,steel,0.3175
