case,solver,keff,std,keff_2sigma,status,execution_time,boundary_type,cols,enrichment,environment_material,fill_fraction,fissile_density,fissile_material,gap_xy_cm,gap_z_cm,h_to_u_ratio,height_cm,layers,radius_cm,reflector_thickness_cm,rows,void_material,wall_material,wall_thickness_cm
case_1,openmc,1.40305,0.00084,1.40472,CRITICAL,46.8,reflective,4,21,humid_air,0.1,5.09,uo2f2,12.7,7.62,30,100.0,5,12.7,30,3,humid_air,steel,0.3175
case_2,openmc,1.52256,0.00087,1.52429,CRITICAL,30.1,reflective,4,21,humid_air,0.2,5.09,uo2f2,12.7,7.62,30,100.0,5,12.7,30,3,humid_air,steel,0.3175
case_3,openmc,1.56825,0.00084,1.56993,CRITICAL,40.3,reflective,4,21,humid_air,0.3,5.09,uo2f2,12.7,7.62,30,100.0,5,12.7,30,3,humid_air,steel,0.3175
case_4,openmc,1.59366,0.00083,1.59533,CRITICAL,29.2,reflective,4,21,humid_air,0.4,5.09,uo2f2,12.7,7.62,30,100.0,5,12.7,30,3,humid_air,steel,0.3175
case_5,openmc,1.64569,0.00076,1.64721,CRITICAL,26.3,reflective,4,21,humid_air,1.0,5.09,uo2f2,12.7,7.62,30,100.0,5,12.7,30,3,humid_air,steel,0.3175
