case,solver,keff,std,keff_2sigma,status,execution_time,enrichment,fissile_density,fissile_material,gap_cm,h_to_u,length_cm,num_pipes,pipe_size,rows,wall_material,water_density,water_thickness_cm
case_1,openmc,0.19337,0.00019,0.19374,SAFE,19.4,21,5.09,uf6,1,0.0,900,2,4,3,ss304,0.001,30
case_2,openmc,0.17858,0.00019,0.17896,SAFE,17.9,21,5.09,uf6,2,0.0,900,2,4,3,ss304,0.001,30
case_3,openmc,0.14481,0.00014,0.14510,SAFE,11.2,21,5.09,uf6,6,0.0,900,2,4,3,ss304,0.001,30
case_4,openmc,0.33349,0.00036,0.33421,SAFE,17.5,21,5.09,uf6,1,0.0,900,2,6,3,ss304,0.001,30
case_5,openmc,0.31082,0.00033,0.31147,SAFE,17.8,21,5.09,uf6,2,0.0,900,2,6,3,ss304,0.001,30
case_6,openmc,0.25221,0.00025,0.25271,SAFE,15.1,21,5.09,uf6,6,0.0,900,2,6,3,ss304,0.001,30
