case,solver,keff,std,keff_2sigma,status,execution_time,boundary_type,cols,enrichment,environment_material,fill_fraction,fissile_density,fissile_material,gap_xy_cm,gap_z_cm,h_to_u_ratio,height_cm,layers,radius_cm,reflector_thickness_cm,rows,void_material,wall_material,wall_thickness_cm
case_1,openmc,1.35008,0.00074,1.35155,CRITICAL,201.3,reflective,4,21,humid_air,0.25,5.09,uo2f2,12.7,7.62,0,100.0,5,12.7,6.35,3,humid_air,steel,0.3175
case_2,openmc,1.37165,0.00068,1.37300,CRITICAL,140.3,reflective,4,21,humid_air,0.5,5.09,uo2f2,12.7,7.62,0,100.0,5,12.7,6.35,3,humid_air,steel,0.3175
case_3,openmc,1.38077,0.00069,1.38216,CRITICAL,110.3,reflective,4,21,humid_air,0.75,5.09,uo2f2,12.7,7.62,0,100.0,5,12.7,6.35,3,humid_air,steel,0.3175
case_4,openmc,1.38584,0.00061,1.38706,CRITICAL,85.4,reflective,4,21,humid_air,1.0,5.09,uo2f2,12.7,7.62,0,100.0,5,12.7,6.35,3,humid_air,steel,0.3175
