case,solver,keff,std,keff_2sigma,status,execution_time,boundary_thickness_cm,cols,enrichment,environment,height_cm,pitch_cm,radius_cm,rows,uf6_density,wall_material,wall_thickness_cm
case_8,openmc,0.33107,0.00037,0.33181,SAFE,6.0,30.0,3,20.0,air,100.0,20,12.7,3,5.09,steel,0.3175
case_1,openmc,0.78641,0.00089,0.78820,SAFE,27.0,30.0,3,20.0,water,100.0,7.62,12.7,3,5.09,steel,0.3175
case_2,openmc,0.77540,0.00100,0.77740,SAFE,27.5,30.0,3,20.0,water,100.0,8,12.7,3,5.09,steel,0.3175
case_3,openmc,0.72351,0.00086,0.72523,SAFE,28.5,30.0,3,20.0,water,100.0,10,12.7,3,5.09,steel,0.3175
case_4,openmc,0.68947,0.00085,0.69117,SAFE,28.4,30.0,3,20.0,water,100.0,12,12.7,3,5.09,steel,0.3175
case_5,openmc,0.66799,0.00097,0.66994,SAFE,29.7,30.0,3,20.0,water,100.0,14,12.7,3,5.09,steel,0.3175
case_6,openmc,0.65440,0.00090,0.65620,SAFE,29.3,30.0,3,20.0,water,100.0,16,12.7,3,5.09,steel,0.3175
case_7,openmc,0.64708,0.00078,0.64864,SAFE,30.1,30.0,3,20.0,water,100.0,17.78,12.7,3,5.09,steel,0.3175
case_8,openmc,0.64081,0.00089,0.64258,SAFE,29.2,30.0,3,20.0,water,100.0,20,12.7,3,5.09,steel,0.3175
case_1,openmc,0.47070,0.00052,0.47173,SAFE,9.2,30.0,4,20.0,air,100.0,7.62,12.7,3,5.09,steel,0.3175
case_2,openmc,0.46441,0.00046,0.46534,SAFE,8.7,30.0,4,20.0,air,100.0,8,12.7,3,5.09,steel,0.3175
case_3,openmc,0.43152,0.00045,0.43242,SAFE,7.5,30.0,4,20.0,air,100.0,10,12.7,3,5.09,steel,0.3175
case_4,openmc,0.40847,0.00038,0.40924,SAFE,8.3,30.0,4,20.0,air,100.0,12,12.7,3,5.09,steel,0.3175
case_5,openmc,0.38770,0.00041,0.38853,SAFE,7.2,30.0,4,20.0,air,100.0,14,12.7,3,5.09,steel,0.3175
case_6,openmc,0.37104,0.00037,0.37177,SAFE,7.8,30.0,4,20.0,air,100.0,16,12.7,3,5.09,steel,0.3175
case_7,openmc,0.35944,0.00033,0.36011,SAFE,7.3,30.0,4,20.0,air,100.0,17.78,12.7,3,5.09,steel,0.3175
case_8,openmc,0.34698,0.00040,0.34777,SAFE,9.0,30.0,4,20.0,air,100.0,20,12.7,3,5.09,steel,0.3175
case_1,openmc,0.79518,0.00096,0.79709,SAFE,29.4,30.0,4,20.0,water,100.0,7.62,12.7,3,5.09,steel,0.3175
case_2,openmc,0.78343,0.00087,0.78517,SAFE,28.9,30.0,4,20.0,water,100.0,8,12.7,3,5.09,steel,0.3175
case_3,openmc,0.72770,0.00087,0.72944,SAFE,28.4,30.0,4,20.0,water,100.0,10,12.7,3,5.09,steel,0.3175
case_4,openmc,0.69347,0.00091,0.69530,SAFE,29.7,30.0,4,20.0,water,100.0,12,12.7,3,5.09,steel,0.3175
case_5,openmc,0.67137,0.00093,0.67323,SAFE,30.1,30.0,4,20.0,water,100.0,14,12.7,3,5.09,steel,0.3175
case_6,openmc,0.65611,0.00081,0.65773,SAFE,30.0,30.0,4,20.0,water,100.0,16,12.7,3,5.09,steel,0.3175
case_7,openmc,0.64824,0.00084,0.64992,SAFE,31.3,30.0,4,20.0,water,100.0,17.78,12.7,3,5.09,steel,0.3175
case_8,openmc,0.64150,0.00087,0.64325,SAFE,30.2,30.0,4,20.0,water,100.0,20,12.7,3,5.09,steel,0.3175
case_1,openmc,0.48958,0.00048,0.49053,SAFE,7.6,30.0,5,20.0,air,100.0,7.62,12.7,3,5.09,steel,0.3175
case_2,openmc,0.48234,0.00048,0.48330,SAFE,8.0,30.0,5,20.0,air,100.0,8,12.7,3,5.09,steel,0.3175
case_3,openmc,0.44912,0.00044,0.45001,SAFE,7.3,30.0,5,20.0,air,100.0,10,12.7,3,5.09,steel,0.3175
case_4,openmc,0.42243,0.00044,0.42330,SAFE,7.1,30.0,5,20.0,air,100.0,12,12.7,3,5.09,steel,0.3175
case_5,openmc,0.40128,0.00042,0.40212,SAFE,7.3,30.0,5,20.0,air,100.0,14,12.7,3,5.09,steel,0.3175
case_6,openmc,0.38459,0.00043,0.38545,SAFE,6.8,30.0,5,20.0,air,100.0,16,12.7,3,5.09,steel,0.3175
case_7,openmc,0.37100,0.00035,0.37170,SAFE,7.1,30.0,5,20.0,air,100.0,17.78,12.7,3,5.09,steel,0.3175
case_8,openmc,0.35683,0.00030,0.35744,SAFE,6.4,30.0,5,20.0,air,100.0,20,12.7,3,5.09,steel,0.3175
case_1,openmc,0.80019,0.00094,0.80206,SAFE,29.5,30.0,5,20.0,water,100.0,7.62,12.7,3,5.09,steel,0.3175
case_2,openmc,0.78739,0.00102,0.78944,SAFE,29.5,30.0,5,20.0,water,100.0,8,12.7,3,5.09,steel,0.3175
case_3,openmc,0.73211,0.00094,0.73399,SAFE,31.1,30.0,5,20.0,water,100.0,10,12.7,3,5.09,steel,0.3175
case_4,openmc,0.69381,0.00085,0.69550,SAFE,31.2,30.0,5,20.0,water,100.0,12,12.7,3,5.09,steel,0.3175
case_5,openmc,0.67099,0.00088,0.67276,SAFE,31.1,30.0,5,20.0,water,100.0,14,12.7,3,5.09,steel,0.3175
case_6,openmc,0.65625,0.00082,0.65788,SAFE,31.8,30.0,5,20.0,water,100.0,16,12.7,3,5.09,steel,0.3175
case_7,openmc,0.65015,0.00098,0.65210,SAFE,31.8,30.0,5,20.0,water,100.0,17.78,12.7,3,5.09,steel,0.3175
case_8,openmc,0.64211,0.00094,0.64399,SAFE,31.4,30.0,5,20.0,water,100.0,20,12.7,3,5.09,steel,0.3175
