enrichment_wt_pct,h_over_x,h_to_u_exact,k4
20.0,0,0.000000,1.37262
20.0,5,1.010209,1.40257
20.0,10,2.020417,1.43940
20.0,20,4.040834,1.50977
20.0,50,10.102086,1.62091
20.0,100,20.204171,1.67708
20.0,200,40.408342,1.67553
20.0,300,60.612514,1.63703
20.0,500,101.020856,1.53996
20.0,700,141.429198,1.44376
20.0,1000,202.041712,1.31459
20.0,1500,303.062568,1.13979
20.0,2000,404.083424,1.00442
