enrichment_wt_pct,h_to_u,uranium_density_g_cm3,bulk_density_g_cm3,uo2f2_component_density_g_cm3,h2o_component_density_g_cm3,water_weight_fraction,water_moles_per_u,density_basis_region
20.0,0.5,4.8,6.306013555827353,6.214968723731858,0.09104483209549488,0.01443777931802269,0.25,hydrated_salt_linear_fit
20.0,1.0,4.64,6.183823108325419,6.007803099607463,0.17602000871795678,0.028464593122170184,0.5,hydrated_salt_linear_fit
20.0,1.5,4.48,6.055563005350454,5.800637475483068,0.2549255298673857,0.04209774213267101,0.75,hydrated_salt_linear_fit
20.0,2.0,4.32,5.921233246902454,5.5934718513586725,0.3277613955437816,0.055353569413135656,1.0,hydrated_salt_linear_fit
20.0,2.5,4.16,5.780833832981422,5.386306227234277,0.39452760574714446,0.06824752572825118,1.25,hydrated_salt_linear_fit
20.0,3.0,4.0,5.634364763587356,5.1791406031098814,0.4552241604774744,0.08079422962095141,1.5,hydrated_salt_linear_fit
20.0,3.5,3.84,5.481826038720258,4.971974978985487,0.5098510597347714,0.09300752270019079,1.75,hydrated_salt_linear_fit
20.0,4.0,3.2850097407826717,4.751853766327456,4.2533818325247505,0.4984719338027058,0.10490052057893137,2.0,appendix_a_volume_relation
20.0,4.5,3.0919029571820937,4.531165884589713,4.003350036604324,0.5278158479853896,0.11648565985643276,2.25,appendix_a_volume_relation
20.0,5.0,2.9202389456169775,4.334983407845301,3.7810820235069196,0.5539013843383807,0.12777474149865245,2.5,appendix_a_volume_relation
