enrichment_wt_pct,h_to_u,uranium_density_g_cm3,bulk_density_g_cm3,uo2f2_component_density_g_cm3,h2o_component_density_g_cm3,water_weight_fraction,water_moles_per_u,density_basis_region
20.0,0.0,4.96,6.422134347856253,6.422134347856253,0.0,0.0,0.0,hydrated_salt_linear_fit
20.0,1.0,4.64,6.183823108325419,6.007803099607463,0.17602000871795678,0.028464593122170184,0.5,hydrated_salt_linear_fit
20.0,2.0,4.32,5.921233246902454,5.5934718513586725,0.3277613955437816,0.055353569413135656,1.0,hydrated_salt_linear_fit
20.0,3.0,4.0,5.634364763587356,5.1791406031098814,0.4552241604774744,0.08079422962095141,1.5,hydrated_salt_linear_fit
20.0,4.0,3.2850097407826717,4.751853766327456,4.2533818325247505,0.4984719338027058,0.10490052057893137,2.0,appendix_a_volume_relation
20.0,5.0,2.9202389456169775,4.334983407845301,3.7810820235069196,0.5539013843383807,0.12777474149865245,2.5,appendix_a_volume_relation
20.0,6.0,2.6283808813375744,4.001439775804263,3.403188535743292,0.5982512400609709,0.1495089951568061,3.0,appendix_a_volume_relation
20.0,7.0,2.3895605238412974,3.72850913178961,3.093967483153745,0.6345416486358649,0.17018642739150208,3.5,appendix_a_volume_relation
20.0,8.0,2.1905247216682784,3.501045400311435,2.8362588820270385,0.6647865182843968,0.1898822900797747,4.0,appendix_a_volume_relation
20.0,9.0,2.0220964345786583,3.308560800809186,2.618180436932513,0.6903803638766728,0.20866485624439005,4.5,appendix_a_volume_relation
20.0,10.0,1.8777195701215565,3.143562845818238,2.4312434167176464,0.7123194291005914,0.22659621074481234,5.0,appendix_a_volume_relation
20.0,20.0,1.09552159739955,2.2496449291042047,1.4184650966689518,0.8311798324352532,0.3694715649043443,10.0,appendix_a_volume_relation
20.0,30.0,0.7733632000971191,1.8814732214144556,1.0013391876434954,0.8801340337709603,0.46778982754231935,15.0,appendix_a_volume_relation
20.0,40.0,0.5976215306039685,1.680630682119105,0.7737914836109221,0.9068391985081828,0.5395826746211431,20.0,appendix_a_volume_relation
20.0,50.0,0.48696252033175935,1.5541664424024848,0.6305118403107339,0.9236546020917508,0.5943086769161823,25.0,appendix_a_volume_relation
